"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PAIMPAG","198108","348.137","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198109","335.59","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198110","241.665","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198111","209.723","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198112","176.332","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198113","310.584","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198201","253.961","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198202","138.678","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198203","91.035","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198204","84.633","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198205","179.279","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198206","114.695","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198207","158.547","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198208","180.799","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198209","179.238","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198210","249.295","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198211","246.528","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198212","154.865","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198213","169.69","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198301","207.146","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198302","114.984","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198303","63.205","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198304","227.257","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198305","285.581","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198306","300.192","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198307","283.158","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198308","377.861","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198309","423.298","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198310","261.193","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198311","183.731","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198312","144.048","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198313","239.841","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198401","242.077","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198402","368.525","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
"PAIMPAG","198403","285.005","1","Petroleum Imports From Algeria","Thousand Barrels per Day"
